Gene
IFIT2
B2M
HLA-B
IDO1
CD74
CXCL10
MT2A
BTG1
SAT1
CCL4
CXCL3
IL7R
PNRC1
IL1R2
CXCL9
IL1R1
IL1B
CXCL13
IL18R1
CCL17
KCNMB2
CCL22
CCL5
HLA-DRA
HLA-DRB1
HLA-DPA1
HLA-DPB1
CIITA
TAP1
TAP2
LAMP3
CD83
CCR7
IL12B
CXCR5
ICOS
BCL6
IL21
SH2D1A
PDCD1
JCHAIN
IRF4
PRDM1
AICDA
MZB1
XBP1
ENTPD1
CTLA4
HAVCR2
LAG3
TOX
TIGIT
EIF1
ID2
G0S2
KLF2
HLA-C
TXNIP
