"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.980592441266599,1,0.00942834302346016,-0.150298848123069,-0.584066138135364,42,"AXIN1;JAG1;NKD1;JAG2;WNT1;FRAT1;DKK1;FZD8;HEY1;DKK4;DLL1;HEY2;NOTCH4"
"HALLMARK_XENOBIOTIC_METABOLISM",1,1,0,-0.100316036889321,-0.444334983768638,189,"TGFB2;SLC46A3;ACP2;SLC6A6;AP4B1;RETSAT;DDAH2;BPHL;PEMT;MAOA;FBLN1;UPB1;HNF4A;CYP2S1;CYP4F2;CCL25;MPP2;JUP;VTN;ALDH3A1;IRF8;HSD17B2;TAT;LCAT;CES1;ACSM1;CYP1A2;CYP1A1;AQP9;SERPINA6;F10;SLC6A12;TYR;CYP2E1;CYP17A1;CYP2C18;RBP4;CYP26A1;AKR1C3;AKR1C2;PTGDS;PTGES;TTPA;TMEM176B;PDK4;CD36;DDC;IGFBP1;PLG;SLC22A1;VNN1;ARG1;GSTA3;GNMT;CFB;GCNT2;CDO1;F11;TDO2;ENPEP;ADH1C;HRG;PROS1;ACOX2;ITIH4;ITIH1;AOX1;GAD1;XDH;GCKR;FMO1;FMO3;ANGPTL3;RAP1GAP;CDA;EPHA2;SLC12A4;TKFC;IL1R1;CSAD;UPP1;NQO1;ALDH9A1;AHCY;ATP2A2"
"HALLMARK_ADIPOGENESIS",NA,NA,NA,0.231307266097385,NA,199,"PRDX3;CD302;RMDN3;ME1;CPT2;ACAA2;LPCAT3;CAT;ESRRA;CD151;POR;IDH1;DHRS7B;PFKL;CYC1;AK2;PPP1R15B;DLAT;COQ3;PHYH;APOE;DGAT1;MAP4K3;CCNG2;SQOR;ELOVL6;SLC19A1;CDKN2C;ACLY;PLIN2;ATL2;BCKDHA;NDUFA5;PEX14;UCP2;ECH1;IMMT;NDUFS3;JAGN1;NDUFB7;YWHAG;ADIPOR2;UQCR11;AGPAT3;MDH2;PTCD3;SCP2;UQCR10;SLC25A10;DDT;PPM1B;PPARG;GRPEL1;GBE1;DBT;GPAM;ECHS1;SULT1A1;DRAM2;TOB1"
"HALLMARK_ANDROGEN_RESPONSE",NA,NA,NA,0.217376838259943,NA,99,"HERC3;HPGD;TSC22D1;SLC26A2;PMEPA1;ACTN1;MAK;GNAI3;ZBTB10;GPD1L;ABCC4;CDC14B;HSD17B14;SCD;PA2G4;RPS6KA3"
"HALLMARK_APOPTOSIS",NA,NA,NA,0.209694179856954,NA,159,"BCAP31;CASP6;BCL2L11;CD38;APP;VDAC2;CASP1;BCL10;GNA15;IER3;PPT1;FASLG;BID;GSN;TAP1;CASP9;TOP2A;FAS;HMOX1;RNASEL;IL18;CASP3;IGFBP6;SMAD7;CCND2;HMGB2;CDKN1A;BAX;TGFBR3;BIK;EBP;PLAT;HGF;EGR3;FDXR;TIMP2;CDK2;TIMP1"
"HALLMARK_BILE_ACID_METABOLISM",NA,NA,NA,0.123736470623758,NA,108,"ACSL5;SULT1B1;ISOC1;CAT;IDH1;CROT;OPTN;NPC1;PEX26;ACSL1;PHYH;PEX13;PEX6;PEX1;PNPLA8;GSTK1;ABCA3;BCAR3;PFKM;HSD3B7"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",NA,NA,NA,0.243818216305414,NA,74,"STX5;ALDOC;FBXO6;GLDC;TM7SF2;HSD17B7;GUSB;SCD;ECH1;FDPS;ANTXR2;EBP;TP53INP1;ATXN2;MVK;PPARG;ABCA2;ANXA5;PNRC1;ETHE1;TRIB3;CHKA;ACTG1;TMEM97;GNAI1;NSDHL;NIBAN1;FABP5;LGALS3;LGMN;ALCAM;HMGCR;LSS;PDK3;SQLE;CD9;GPX8;CPEB2;ERRFI1;S100A11;HMGCS1;IDI1;CLU;PMVK;SREBF2;CTNNB1;PCYT2;CYP51A1;FDFT1;MVD;NFIL3;TNFRSF12A;FASN;LDLR;GSTM2;FADS2;PLAUR;SC5D;ACAT2;ATF3;PLSCR1;STARD4;DHCR7"
"HALLMARK_COMPLEMENT",NA,NA,NA,0.11003013246228,NA,198,"JAK2;RABIF;XPNPEP1;CASP1;FDX1;CTSH;ME1;CASP10;CDH13;CALM3;C1S;GNAI3;LIPA;CASP9;CASP3;SPOCK2;LRP1;CD55;GNAI2;CEBPB;PHEX;CD46;SIRT6;PLAT;DPP4;DOCK9;LCK;PDP1;TNFAIP3;TIMP2;MSRB1;TIMP1;USP8;RCE1;SERPINA1;PIM1;DOCK10;GMFB;PRDM4;PDGFB;VCPIP1;CP;DOCK4;USP16;ZEB1;GATA3;ANXA5;IRF2;CD59;DYRK2;CDK5R1;CXCL1;ITGAM;AKAP10;KIF2A;USP15;GCA;CFH;L3MBTL4;DGKH;GRB2;PFN1;PIK3CA;WAS;CSRP1;KCNIP2;STX4;HSPA1A;SH2B3;CASP7;FN1;SRC;RBSN;CTSS;CA2;LGALS3;ERAP2;CTSB;RAF1;USP14;LGMN;HSPA5;ATOX1;EHD1;CTSD;PSMB9;CTSC;PIK3R5;RASGRP1;PPP4C;CALM1;PREP;S100A13;ADAM9;FYN;LTA4H;CLU;CBLB;ZFPM2;PIK3CG;DGKG;F8;CD40LG;DUSP5;LCP2;CTSO;PRCP;KLK1;GZMB;KYNU;GZMK;GNGT2;GNB2;PRSS36;IRF1;LAMP2;CPQ;SERPINE1;RNF4;APOBEC3F;GNG2;LAP3;CCL5;APOBEC3G;PLAUR;LYN;MAFF;CASP4;RHOG;F5;GZMA;TFPI2;PLEK;PLSCR1;GPD2;COL4A2;MT3;PPP2CB;ANG;PSEN1;C1QA;CTSL;CDA;C1QC;HPCAL4;PCSK9;S100A9;S100A12;FCER1G;SERPINC1;PLA2G4A;C4BPB;CR2;CR1;ACTN2"
"HALLMARK_DNA_REPAIR",NA,NA,NA,0.464187830040399,NA,149,"BCAP31;TYMS;VPS28;AGO4;POLR2C;SEC61A1;NELFCD;ELL;ADA;GMPR2;GTF2H1;SAC3D1;RPA2;ERCC3;MRPL40;BOLA2;RFC3;UMPS;NELFE;LIG1;UPF3B;NELFB;CMPK2;RAE1;TAF12;GTF2F1;ZNF707;POLL;RFC2;TK2;ERCC4;CLP1;TAF13;POLR3GL;ARL6IP1;TARBP2;SF3A3;ITPA;ERCC8;BRF2;CSTF3;SSRP1;POLD1;AAAS;DCTN4;SURF1;USP11;TMED2;AK3;GTF2A2;POLE4;REV3L;DDB2;NFX1;NME3;NT5C3A;RFC4;POLR2J;PDE6G;NCBP2;NME1;TP53;POM121;GTF2B;APRT;HCLS1;POLD3;NUDT21;PCNA;GPX4;POLD4;CANT1;SNAPC5;EIF1B;RBX1;DGUOK;ALYREF;RALA;COX17;POLB;POLR2G;SUPT4H1;POLR2D;CETN2;SDCBP;NME4;POLR2K;DDB1;FEN1;SRSF6;RNMT;TAF1C;GUK1;POLR2H;POLR1D;GTF3C5;GTF2H3;RFC5;XPC;DAD1;RPA3;POLA1;POLR2F;POLR2A;ELOA;DUT;TSG101;IMPDH2;NT5C;POLR3C;ERCC5;SMAD5;ZWINT;GSDME;HPRT1;EDF1;MPG;MPC2;ERCC1;STX3;SNAPC4;ADRM1;POLA2;GTF2H5;TAF10;PNP;DGCR8;POLR2E;RAD52;POLR1C;PDE4B;POLR2I;TAF6;ADCY6;PRIM1;RRM2B;TAF9;RAD51;NUDT9;SUPT5H;POLH;VPS37B"
"HALLMARK_E2F_TARGETS",NA,NA,NA,0.515796914273086,NA,198,"MYC;SLBP;RRM2;MKI67;STMN1;DIAPH3;EZH2;POLD2;KIF22;CENPM;HELLS;AURKA;CHEK1;CDK1;MYBL2;MELK;UBE2T;BRMS1L;PAN2;DLGAP5;RPA2;BUB1B;AK2;DCK;CTCF;CNOT9;UBR7;SRSF1;RFC3;KPNA2;KIF4A;LIG1;BRCA2;CENPE;RPA1;TK1;CDKN3;SPC25;MLH1;TOP2A;TMPO;RACGAP1;CHEK2;CCNE1;ASF1B;CCP110;DCTPP1;GINS1;MCM5;CDKN2C;AURKB;TUBG1;SMC3;PA2G4;PSIP1;MCM2;RFC2;HMGB2;CDKN1A;CSE1L;BIRC5;NUP107;HNRNPD;JPT1;CKS1B;NUP205;RAD51C;CTPS1;CDCA3;NAA38;LMNB1;E2F8;RAD51AP1;SSRP1;POLD1;NASP;NAP1L1;MAD2L1;DEPDC1;CIT"
